=80	U+20AC	EURO SIGN
=82	U+201A	SINGLE LOW-9 QUOTATION MARK
=84	U+201E	DOUBLE LOW-9 QUOTATION MARK
=85	U+2026	HORIZONTAL ELLIPSIS
=86	U+2020	DAGGER
=87	U+2021	DOUBLE DAGGER
=89	U+2030	PER MILLE SIGN
=8B	U+2039	SINGLE LEFT-POINTING ANGLE QUOTATION MARK
=8D	U+00A8	DIAERESIS
=8E	U+02C7	CARON
=8F	U+00B8	CEDILLA
=91	U+2018	LEFT SINGLE QUOTATION MARK
=92	U+2019	RIGHT SINGLE QUOTATION MARK
=93	U+201C	LEFT DOUBLE QUOTATION MARK
=94	U+201D	RIGHT DOUBLE QUOTATION MARK
=95	U+2022	BULLET
=96	U+2013	EN DASH
=97	U+2014	EM DASH
=99	U+2122	TRADE MARK SIGN
=9B	U+203A	SINGLE RIGHT-POINTING ANGLE QUOTATION MARK
=9D	U+00AF	MACRON
=9E	U+02DB	OGONEK
=A1	U+0000	
=A5	U+0000	
=A8	U+00D8	LATIN CAPITAL LETTER O WITH STROKE
=AA	U+0156	LATIN CAPITAL LETTER R WITH CEDILLA
=AF	U+00C6	LATIN CAPITAL LETTER AE
=BA	U+0157	LATIN SMALL LETTER R WITH CEDILLA
=BF	U+00E6	LATIN SMALL LETTER AE
=C0	U+0104	LATIN CAPITAL LETTER A WITH OGONEK
=C1	U+012E	LATIN CAPITAL LETTER I WITH OGONEK
=C2	U+0100	LATIN CAPITAL LETTER A WITH MACRON
=C3	U+0106	LATIN CAPITAL LETTER C WITH ACUTE
=C6	U+0118	LATIN CAPITAL LETTER E WITH OGONEK
=C7	U+0112	LATIN CAPITAL LETTER E WITH MACRON
=C8	U+010C	LATIN CAPITAL LETTER C WITH CARON
=CA	U+0179	LATIN CAPITAL LETTER Z WITH ACUTE
=CB	U+0116	LATIN CAPITAL LETTER E WITH DOT ABOVE
=CC	U+0122	LATIN CAPITAL LETTER G WITH CEDILLA
=CD	U+0136	LATIN CAPITAL LETTER K WITH CEDILLA
=CE	U+012A	LATIN CAPITAL LETTER I WITH MACRON
=CF	U+013B	LATIN CAPITAL LETTER L WITH CEDILLA
=D0	U+0160	LATIN CAPITAL LETTER S WITH CARON
=D1	U+0143	LATIN CAPITAL LETTER N WITH ACUTE
=D2	U+0145	LATIN CAPITAL LETTER N WITH CEDILLA
=D4	U+014C	LATIN CAPITAL LETTER O WITH MACRON
=D8	U+0172	LATIN CAPITAL LETTER U WITH OGONEK
=D9	U+0141	LATIN CAPITAL LETTER L WITH STROKE
=DA	U+015A	LATIN CAPITAL LETTER S WITH ACUTE
=DB	U+016A	LATIN CAPITAL LETTER U WITH MACRON
=DD	U+017B	LATIN CAPITAL LETTER Z WITH DOT ABOVE
=DE	U+017D	LATIN CAPITAL LETTER Z WITH CARON
=E0	U+0105	LATIN SMALL LETTER A WITH OGONEK
=E1	U+012F	LATIN SMALL LETTER I WITH OGONEK
=E2	U+0101	LATIN SMALL LETTER A WITH MACRON
=E3	U+0107	LATIN SMALL LETTER C WITH ACUTE
=E6	U+0119	LATIN SMALL LETTER E WITH OGONEK
=E7	U+0113	LATIN SMALL LETTER E WITH MACRON
=E8	U+010D	LATIN SMALL LETTER C WITH CARON
=EA	U+017A	LATIN SMALL LETTER Z WITH ACUTE
=EB	U+0117	LATIN SMALL LETTER E WITH DOT ABOVE
=EC	U+0123	LATIN SMALL LETTER G WITH CEDILLA
=ED	U+0137	LATIN SMALL LETTER K WITH CEDILLA
=EE	U+012B	LATIN SMALL LETTER I WITH MACRON
=EF	U+013C	LATIN SMALL LETTER L WITH CEDILLA
=F0	U+0161	LATIN SMALL LETTER S WITH CARON
=F1	U+0144	LATIN SMALL LETTER N WITH ACUTE
=F2	U+0146	LATIN SMALL LETTER N WITH CEDILLA
=F4	U+014D	LATIN SMALL LETTER O WITH MACRON
=F8	U+0173	LATIN SMALL LETTER U WITH OGONEK
=F9	U+0142	LATIN SMALL LETTER L WITH STROKE
=FA	U+015B	LATIN SMALL LETTER S WITH ACUTE
=FB	U+016B	LATIN SMALL LETTER U WITH MACRON
=FD	U+017C	LATIN SMALL LETTER Z WITH DOT ABOVE
=FE	U+017E	LATIN SMALL LETTER Z WITH CARON
=FF	U+02D9	DOT ABOVE
