    3600  0.310 01/01/2000::1
    7200  0.380 01/01/2000::2
   10800  0.450 01/01/2000::3
   14400  0.540 01/01/2000::4
   18000  0.600 01/01/2000::5
   21600  0.590 01/01/2000::6
   25200  0.540 01/01/2000::7
   28800  0.440 01/01/2000::8
   32400  0.270 01/01/2000::9
   36000  0.090 01/01/2000::10
   39600 -0.100 01/01/2000::11
   43200 -0.250 01/01/2000::12
   46800 -0.360 01/01/2000::13
   50400 -0.430 01/01/2000::14
   54000 -0.420 01/01/2000::15
   57600 -0.280 01/01/2000::16
   61200 -0.120 01/01/2000::17
   64800  0.040 01/01/2000::18
   68400  0.170 01/01/2000::19
   72000  0.270 01/01/2000::20
   75600  0.300 01/01/2000::21
   79200  0.310 01/01/2000::22
   82800  0.280 01/01/2000::23
   86400  0.240 01/01/2000::0
   90000  0.220 02/01/2000::1
   93600  0.250 02/01/2000::2
   97200  0.290 02/01/2000::3
  100800  0.350 02/01/2000::4
  104400  0.410 02/01/2000::5
  108000  0.440 02/01/2000::6
  111600  0.430 02/01/2000::7
  115200  0.350 02/01/2000::8
  118800  0.220 02/01/2000::9
  122400  0.050 02/01/2000::10
  126000 -0.130 02/01/2000::11
  129600 -0.280 02/01/2000::12
  133200 -0.360 02/01/2000::13
  136800 -0.410 02/01/2000::14
  140400 -0.400 02/01/2000::15
  144000 -0.280 02/01/2000::16
  147600 -0.120 02/01/2000::17
